pmid	title	abstract	journal	year	label	source
37843654	Electronic and optical structural manipulation of NbS	Monolayer NbS	Journal of molecular modeling	2023	retracted	pubmed
36247705	Systematic Review and Meta-Analysis of the Evaluation of the Efficacy of Manipulation and Cervical Traction in the Treatment of Radical Cervical Spondylosis.	With the accelerated pace of life in modern society, changes in work style, and the popularity of computers, the prevalence of cervical spondylosis (CSR) is increasing, and the age of onset is advancing. Once suffering from this disease, it is often difficult to cure and recurring, with complex clinical symptoms, causing a serious impact on human health.	Emergency medicine international	2022	retracted	pubmed
34721644	Observation on the Curative Effect of Massage Manipulation Combined with Core Strength Training in Patients with Chronic Nonspecific Low Back Pain.	In this prospective study, we used the random number table method to equally divide 141 patients with chronic nonspecific low back pain (CNLBP) who met the inclusion criteria into 3 groups. One group who received massage manipulation therapy was recorded as the manipulation group (	Evidence-based complementary and alternative medicine : eCAM	2021	retracted	pubmed
33860035	"Clinical Efficacy and Safety of ""Three-Dimensional Balanced Manipulation"" in the Treatment of Cervical Spondylotic Radiculopathy by Finite Element Analysis."	"Cervical spondylotic radiculopathy (CSR) is the most commonly encountered cervical spine disorder. Cervical manipulation has been demonstrated as an effective therapy for patients. However, the mechanisms of manipulations have not been elucidated. A total of 120 cervical spondylotic radiculopathy patients were divided into the ""three-dimensional balanced manipulation"" treatment group (TBM group) and control group randomly. The control group was treated with traditional massage; the TBM treatment group was treated with ""three-dimensional balanced manipulation"" based on traditional massage. The symptoms and clinical efficacy of the patients were compared before and after treatment for one month. A three-dimensional finite element model was established. The mechanical parameters were imported to simulate TBM, and finite element analysis was performed. The results showed that the total effective rate was significantly higher in the TBM group compared with the control group. The biomechanical analysis showed the vertebral body stress was mainly distributed in the C3/4 spinous processes; the deformation mainly concentrated in the anterior processes of the C3 vertebral body. The intervertebral disc stress in the C3~C7 segment was mainly distributed in the anterior part of the C3/4 intervertebral disc, and the deformation extends to the posterior part of the C3/4 nucleus pulposus. In summary, these data are suggesting that TBM was effective in CSR treatment. The results of the finite element model and biomechanical analysis provide an important foundation for effectively avoiding iatrogenic injuries and improving the effect of TBM in the treatment of CSR patients."	BioMed research international	2021	retracted	pubmed
31285612	Genetic manipulation of autonomic nerve fiber innervation and activity and its effect on breast cancer progression.	The effects of autonomic innervation of tumors on tumor growth remain unclear. Here we developed a series of genetic techniques to manipulate autonomic innervation in a tumor- and fiber-type-specific manner in mice with human breast cancer xenografts and in rats with chemically induced breast tumors. Breast cancer growth and progression were accelerated following stimulation of sympathetic nerves in tumors, but were reduced following stimulation of parasympathetic nerves. Tumor-specific sympathetic denervation suppressed tumor growth and downregulated the expression of immune checkpoint molecules (programed death-1 (PD-1), programed death ligand-1 (PD-L1), and FOXP3) to a greater extent than with pharmacological α- or β-adrenergic receptor blockers. Genetically induced simulation of parasympathetic innervation of tumors decreased PD-1 and PD-L1 expression. In humans, a retrospective analysis of breast cancer specimens from 29 patients revealed that increased sympathetic and decreased parasympathetic nerve density in tumors were associated with poor clinical outcomes and correlated with higher expression of immune checkpoint molecules. These findings suggest that autonomic innervation of tumors regulates breast cancer progression.	Nature neuroscience	2019	retracted	pubmed
29867864	Biodegradation of Endocrine-Disrupting Chemicals and Residual Organic Pollutants of Pulp and Paper Mill Effluent by Biostimulation.	Effluent discharged from the pulp and paper industry contains various refractory and androgenic compounds, even after secondary treatment by activated processes. Detailed knowledge is not yet available regarding the properties of organic pollutants and methods for their bioremediation. This study focused on detecting residual organic pollutants of pulp and paper mill effluent after biological treatment and assessing their degradability by biostimulation. The major compounds identified in the effluent were 2,3,6-trimethylphenol, 2-methoxyphenol (guaiacol), 2,6-dimethoxyphenol (syringol), methoxycinnamic acid, pentadecane, octadecanoic acid, trimethylsilyl ester, cyclotetracosane, 5,8-dimethoxy-6-methyl-2,4-bis(phenylmethyl)napthalen-1-ol, and 1,2-benzendicarboxylic acid diisononyl ester. Most of these compounds are classified as endocrine-disrupting chemicals and environmental toxicants. Some compounds are lignin monomers that are metabolic products from secondary treatment of the discharged effluent. This indicated that the existing industrial process could not further degrade the effluent. Supplementation by carbon (glucose 1.0%) and nitrogen (peptone 0.5%) bio-stimulated the degradation process. The degraded sample after biostimulation showed either disappearance or generation of metabolic products under optimized conditions, i.e., a stirring rate of 150 rpm and temperature of 37 ± 1°C after 3 and 6 days of bacterial incubation. Isolated potential autochthonous bacteria were identified as 	Frontiers in microbiology	2018	retracted	pubmed
26939071	Genetic Manipulation of Leishmania donovani to Explore the Involvement of Argininosuccinate Synthase in Oxidative Stress Management.	Reactive oxygen and nitrogen species (ROS and RNS) produced by the phagocytic cells are the most common arsenals used to kill the intracellular pathogens. However, Leishmania, an intracellular pathogen, has evolved mechanisms to survive by counterbalancing the toxic oxygen metabolites produced during infection. Polyamines, the major contributor in this anti-oxidant machinery, are largely dependent on the availability of L-arginine in the intracellular milieu. Argininosuccinate synthase (ASS) plays an important role as the rate-limiting step required for converting L-citrulline to argininosuccinate to provide arginine for an assortment of metabolic processes. Leishmania produce an active ASS enzyme, yet it has an incomplete urea cycle as it lacks an argininosuccinate lyase (ASL). There is no evidence for endogenous synthesis of L-arginine in Leishmania, which suggests that these parasites salvage L-arginine from extracellular milieu and makes the biological function of ASS and the production of argininosuccinate in Leishmania unclear. Our previous quantitative proteomic analysis of Leishmania promastigotes treated with sub-lethal doses of ROS, RNS, or a combination of both, led to the identification of several differentially expressed proteins which included ASS. To assess the involvement of ASS in stress management, a mutant cell line with greatly reduced ASS activity was created by a double-targeted gene replacement strategy in L. donovani promastigote. Interestingly, LdASS is encoded by three copies of allele, but Western blot analysis showed the third allele did not appear to express ASS. The free thiol levels in the mutant LdASS-/-/+ cell line were decreased. Furthermore, the cell viability in L-arginine depleted medium was greatly attenuated on exposure to different stress environments and was adversely impacted in its ability to infect mice. These findings suggest that ASS is important for Leishmania donovani to counterbalance the stressed environments encountered during infection and can be targeted for chemotherapeutic purpose to treat visceral leishmaniasis.	PLoS neglected tropical diseases	2016	retracted	pubmed
24082502	Influencing micropropagation in Clitoria ternatea L. through the manipulation of TDZ levels and use of different explant types.	A comparative performance of two explants types (CN and Nodal) for their efficiency to induce multiple shoot regeneration in Clitoria ternatea has been carried out. Thidiazuron (TDZ) in different concentrations (0.05-2.5 μM) was used as a supplement to the Murashige and Skoog's (MS) basal media. Explant type apart, two factors viz. concentration and exposure duration to TDZ played an important role in affecting multiple shoot regeneration. Cotyledonary node explants produced the best results at 0.1 μM TDZ, while in nodal explants the highest rate of shoot formation was achieved on MS medium supplemented with 1.0 μM TDZ. In both the explants, shoot multiplication increased when the regenerated shoots were subcultured on hormone free MS medium after 4 weeks of exposure to TDZ. Among the two, cotyledonary node explants produced considerably higher number of shoots at a comparatively lower concentration of TDZ than nodal explants. The regenerated shoots rooted best on MS medium containing 1.0 μM indole-3-butyric acid (IBA) and were successfully established in pots containing garden soil with 88 % survival rate. All the regenerated plants showed normal morphology and growth characteristics.	Physiology and molecular biology of plants : an international journal of functional plant biology	2012	retracted	pubmed
23023581	RETRACTED: Molecular strategies in manipulation of the starch synthesis pathway for improving storage starch content in plants (review and prospect for increasing storage starch synthesis).	Starch is the most widespread and abundant storage carbohydrate in plants. We depend upon starch for our nutrition, exploit its unique properties in industry, and use it as a feedstock for bioethanol production. In recent decades, enormous progress has been made in understanding the genetic and biochemical mechanisms of starch synthesis in plants. Yet, despite this remarkable progress and its obvious economic importance, very little has been achieved in terms of adding value to starch or increasing starch content, particularly in cereal crops. In this paper, we first review recent advances in understanding the biochemistry of starch synthesis, particularly in identifying key enzymes involved in starch assembly. We then assess the progress in molecular strategies for improving storage starch content in plants. Finally, we discuss the problems faced in our profession and present ideas to effectively increase storage starch content in the future.	Plant physiology and biochemistry : PPB	2012	retracted	pubmed
2737192	The effects of dietary manipulation upon the respiratory exchange ratio as a predictor of maximum oxygen uptake during fixed term maximal incremental exercise in man.	This study examined the effects of dietary manipulation upon the respiratory exchange ratio (R = VCO2/VO2) as a predictor of maximum oxygen uptake (VO2max). Seven healthy males performed fixed term maximal incremental treadmill exercise after an overnight fast on three separate occasions. The first test took place after the subjects had consumed their normal mixed diet (45 +/- 5% carbohydrate (CHO] for a period of three days. This test protocol was then repeated after three days of a low CHO diet (3 +/- 2% CHO), and again after three days of a high CHO diet (61 +/- 5% CHO). Respiratory gases were continuously monitored during each test using an on-line system. No significant changes in mean exercise oxygen uptake (VO2), VO2max or maximum functional heart rate (FHRmax) were found between tests. Mean exercise carbon dioxide output (VCO2) and R were significantly lower than normal after the low CHO diet (both p less than 0.001) and significantly higher than normal after the high CHO diet (both p less than 0.05). Moreover, compared with the normal CHO diet, the R-time relationship during exercise was at all times significantly (p less than 0.001) shifted to the right after the low CHO diet, and shifted to the left, being significantly so (p less than 0.05) over the final 5 min of exercise, after the high CHO diet.(ABSTRACT TRUNCATED AT 250 WORDS)	European journal of applied physiology and occupational physiology	1989	retracted	pubmed
